Play	開始遊戲
How to calculate:\nFinal Damage = Damage x ( 1 + Attack x 0.1 )\nHP = 1000 x ( 1 + Defense x 0.1 )	計算方式：\n最終傷害 = 傷害 ×（1 + 攻擊 × 0.1）\n生命值 = 1000 ×（1 + 防禦 × 0.1）
Hunt monochrome enemies.\nDon't kill colorful ones.	獵殺單色敵人，\n不要擊殺彩色敵人。
Limit framerate to 30fps.\nDisabled automatically when you are in VR mode.	將幀率限制為每秒 30 幀。\n進入 VR 模式時會自動停用。
Make headshots in a row.\nDon't shoot body.	連續命中頭部，\n不要射中身體。
Network disconnected.\nTry again later.	網路連線已中斷。\n請稍後再試。
One player must be the host at first.\n\nAfter the room creation,\nother players can join the room as a client.	請先由一位玩家擔任主機。\n\n建立房間後，\n其他玩家即可加入。
Receive notification if someone started open match.\nThis is an experimental option, may affects performance and not work well.	有人開始公開配對時接收通知。\n此功能仍在實驗階段，可能影響效能或無法正常運作。
Sight:None\n(reload speed bonus)	準心：無\n（裝填速度加成）
Stay this room and notice when it is full.\nCheck this if you want to play\nsingleplayer while waiting.	留在房間內，額滿時通知。\n若想在等待期間遊玩單人模式，\n請勾選此項。
Survive every wave.\nEnemies get stronger.	撐過每一波攻勢。\n敵人會越來越強。
This setting is used for open match\nand invitation match.\n\nYou must be in the same server region\nto make matches with your friends.	此設定適用於公開配對\n與邀請對戰。\n\n與朋友遊玩時，\n必須選擇相同伺服器地區。
You can delete custom mapping anywhere in the game\nby keep pressing jump,pick,reload and change button.	在遊戲中同時按住跳躍、拾取、裝填與切換按鈕，\n即可刪除自訂按鍵配置。
You must be in the same online version\nto make matches with others.	必須使用相同的連線版本，\n才能與其他玩家配對。
Leaderboard (local)	本機排行榜
Hold reload button to join	按住裝填按鈕加入
Press enter key to join	按 Enter 加入
Tap here to join	點此加入
Manage	管理
Review	檢視
Pause	暫停
Verifying	驗證中
Pending	等待中
Downloading	下載中
Paused	已暫停
Failed	失敗
Cancelled	已取消
All installed mods	所有已安裝模組
VERSION	版本
STATUS	狀態
ENABLED	啟用
Preview	預覽
Style	樣式
Dot	圓點
Cross	十字
Circle	圓圈
Client-only	僅影響本機
Filters	篩選
CATEGORY	類別
All	全部
Needs attention	需要處理
Updates	更新
Save changes	儲存變更
Restore defaults	還原預設
Local module storage	本機模組儲存空間
Make FLATS your own	打造你的 FLATS
3× preview · actual size uses HUD units	3 倍預覽 · 實際大小以 HUD 單位計算
Your changes affect the preview only.\nSave changes to keep this configuration.	變更只會影響預覽。\n儲存後才會保留此設定。
Changes apply when you save.\nSaving does not enable a disabled mod.	儲存後套用變更。\n儲存不會啟用已停用的模組。
Import a local mod	匯入本機模組
Choose a FLATS ZIP package or enter its full file path.\nOnly import packages from a source you recognise.	選擇 FLATS ZIP 套件，或輸入完整檔案路徑。\n請只匯入來源可信的套件。
The package will be checked before installation.	安裝前將先檢查套件。
Your installed mods are available offline.\nExplore the official catalogue when connected.	離線時仍可使用已安裝模組。\n連線後即可瀏覽官方目錄。
Find an official package	尋找官方套件
Paste a package manifest to find its official download.\nWeb installs crosshair data packages; code packages require desktop FLATS.	貼上套件資訊以尋找官方下載。\n網頁版可安裝準心資料套件；程式套件需要桌面版 FLATS。
The official package is downloaded and verified after your review.	確認後將下載並驗證官方套件。
Profile name	設定組合名稱
Online Version:{0}	連線版本：{0}
Update Version {0}	更新版本 {0}
Multiplayer Score: {0}	多人分數：{0}
Singleplayer Score: {0}	單人分數：{0}
Total Score: {0}	總分：{0}
Camera: {0}	觀戰：{0}
Room: {0}	房間：{0}
Start Now! {0}	立即開始！{0}
Add bot and Start Now! {0}	加入電腦玩家並開始！{0}
Downloads ({0})	下載（{0}）
Size: {0} HUD units	大小：{0} HUD 單位
{0} mods enabled	已啟用 {0} 個模組
Update to {0}	更新至 {0}
Import failed: {0}	匯入失敗：{0}
Could not review package. {0}	無法檢視套件。{0}
Could not complete the action. {0}	無法完成操作。{0}
Could not find package: {0}	找不到套件：{0}
Loading mods — connecting to {0}	正在載入模組 — 連線至 {0}
Character: {0}	角色：{0}
The current save will be backed up before replacement.	取代前會先備份目前存檔。
MOD / INSTALLED	模組 / 已安裝
MOD / EXPLORE	模組 / 探索
MOD / DOWNLOADS	模組 / 下載
Hi, welcome to the tutorial.	嗨，歡迎來到教學。
First, turn your head\nand look around.	首先，轉動頭部，\n觀察四周。
First, use right stick\nand look around.	首先，使用右搖桿，\n觀察四周。
First, use mouse \nand look around.	首先，移動滑鼠，\n觀察四周。
First, swipe screen\nand look around.	首先，滑動螢幕，\n觀察四周。
Walk to the black cube.\nUse left stick.	使用左搖桿，\n走向黑色方塊。
Walk to the black cube.\nUse W/A/S/D keys.	使用 W/A/S/D 鍵，\n走向黑色方塊。
Walk to the black cube.\nUse stick on the screen.	使用螢幕上的搖桿，\n走向黑色方塊。
Good.	很好。
Now you can fire.	現在可以射擊了。
Pull right trigger to fire.	按下右扳機射擊。
Left click to fire.	按滑鼠左鍵射擊。
Press fire button.	按下射擊按鈕。
Need to reload?\nUse this button.	需要裝填彈藥？\n按下這個按鈕。
Need to reload?\nPress R Key.	需要裝填彈藥？\n按下 R 鍵。
Need to reload?\nPress reload button.	需要裝填彈藥？\n按下裝填按鈕。
Press this button\nto change weapons.	按下這個按鈕，\n切換武器。
Press E key\nto change weapons.	按下 E 鍵，\n切換武器。
Hold reload button\nto change weapons.	按住裝填按鈕，\n切換武器。
You can set default weapons\nvia 'Character' in the menu.	可在選單的「角色」中，\n設定預設武器。
Next, kill enemies.	接下來，擊敗敵人。
Aim and shoot them\nor press this button\nto throw grenades.	瞄準並射擊敵人，\n或按下這個按鈕\n投擲手榴彈。
Aim and shoot them\nor press G key\nto throw grenades.	瞄準並射擊敵人，\n或按下 G 鍵\n投擲手榴彈。
Aim and shoot them\nor hold aim button\nto throw grenades.	瞄準並射擊敵人，\n或按住瞄準按鈕\n投擲手榴彈。
Nice work!!	做得好！
Headshot always makes\ngood results.	瞄準頭部，\n可以造成更大傷害。
You can get ammo\nfrom dropped guns.	地上掉落的槍械\n可以補充彈藥。
Pick the sniper rifle on the floor.\nHold this button to pick up.	拾取地上的狙擊步槍。\n按住這個按鈕即可拾取。
Pick the sniper rifle on the floor.\nPress Q key to pick up.	拾取地上的狙擊步槍。\n按下 Q 鍵即可拾取。
Pick the sniper rifle on the floor.\nLong tap to pick up.	拾取地上的狙擊步槍。\n長按即可拾取。
Hold left trigger\nfor zooming.	按住左扳機，\n使用瞄準鏡。
Right click\nfor zooming.	按滑鼠右鍵，\n使用瞄準鏡。
Press zoom button\nfor zooming.	按下縮放按鈕，\n使用瞄準鏡。
Press this button to jump.\nAnd hold it to sprint.	按下這個按鈕跳躍，\n按住則可衝刺。
Press space key to jump.\nAnd hold shift to sprint.	按空白鍵跳躍，\n按住 Shift 鍵衝刺。
Press jump button to jump.\nAnd hold it to sprint.	按下跳躍按鈕跳躍，\n按住則可衝刺。
OK. You've finished tutorial.	很好，你已完成教學。
Press start or select button.\nSelect reset button\nand exit the tutorial.	按下 Start 或 Select 按鈕，\n選擇「重設」，\n即可離開教學。
Press escape key.\nSelect reset button\nand exit the tutorial.	按下 Esc 鍵，\n選擇「重設」，\n即可離開教學。
Press upper-left button.\nSelect reset button\nand exit the tutorial.	按下左上角按鈕，\n選擇「重設」，\n即可離開教學。
Hold change button to exchange	按住切換按鈕交換武器
Press Q key to exchange	按 Q 鍵交換武器
You are the VIP.	你是 VIP。
Red team's VIP: {0}	紅隊 VIP：{0}
Blue team's VIP: {0}	藍隊 VIP：{0}
Hold change button to grab the flag.	按住切換按鈕奪取旗幟。
Press Q to grab the flag.	按 Q 鍵奪取旗幟。
Long tap to grab the flag.	長按奪取旗幟。
Hold change button to reset the bomb.	按住切換按鈕重設炸彈。
Press Q to reset the bomb.	按 Q 鍵重設炸彈。
Long tap to reset the bomb.	長按重設炸彈。
Hold change button to pick the bomb.	按住切換按鈕拾取炸彈。
Press Q to pick the bomb.	按 Q 鍵拾取炸彈。
Long tap to pick the bomb.	長按拾取炸彈。
Red team scored!	紅隊得分！
Blue team scored!	藍隊得分！
You are offense side.\nSet the bomb on the enemies' base.	你是進攻方。\n請在敵方基地安裝炸彈。
You are defense side.\nDefend your base.	你是防守方。\n請守住我方基地。
Blue team killed VIP!	藍隊擊敗了 VIP！
Red team killed VIP!	紅隊擊敗了 VIP！
VIP was killed!	VIP 已被擊敗！
Team kill...	誤傷隊友…
Headshot	爆頭
Mortalshot	致命一擊
Headshot {0}x	連續爆頭 {0} 倍
Load succeeded.	載入成功。
Make headshots in a row.	連續命中頭部。
Saving...	儲存中…
Phase {0}	第 {0} 階段
Bonus+{0}	加成 +{0}
You cleared phase {0}!!	你通過了第 {0} 階段！
start in 3 seconds...	3 秒後開始…
start in 2 seconds...	2 秒後開始…
start in 1 second...	1 秒後開始…
Local Match - online rooms	區域網路配對 — 線上房間
Internet required. Same Photon app, region and version.\nLAN discovery only; gameplay uses Photon online.\nHost: Deathmatch / 3 kills / 2 players. Both joining starts map voting.	需要網路，且 Photon 應用、地區及版本必須相同。\n區域網路僅用於尋找房間；對戰透過 Photon 連線。\n主機：死亡競賽／3 次擊殺／2 人。雙方加入後開始地圖投票。
Host room code: lan-...	主機房間代碼：lan-…
Join code	使用代碼加入
Host room	建立房間
Refresh LAN	重新搜尋
Enter the host's complete lan- room code.	請輸入主機完整的 lan- 房間代碼。
Overview	總覽
Versions	版本
Dependencies	相依模組
New profile	新增設定組合
Duplicate	複製
Rename	重新命名
Manage selected	管理目前組合
Review & switch	檢視並切換
Score: {0} Phase: {1}	分數：{0}　階段：{1}
Score: {0} HeadshotChain: {1}	分數：{0}　連續爆頭：{1}
Score: {0} Rule: Deathmatch {1}	分數：{0}　規則：死亡競賽 {1}
Score: {0} Rule: Team Deathmatch {1}	分數：{0}　規則：團隊死亡競賽 {1}
Score: {0} Rule: Territory {1}	分數：{0}　規則：據點爭奪 {1}
Score: {0} Rule: Capture the Flag {1}	分數：{0}　規則：奪旗模式 {1}
Score: {0} Rule: Blow up the Base {1}	分數：{0}　規則：基地爆破 {1}
Score: {0} Rule: Zombie	分數：{0}　規則：殭屍模式
Score: {0} Rule: VIP	分數：{0}　規則：VIP
You cleared Deathmatch!	你完成了死亡競賽！
You cleared Team Deathmatch!	你完成了團隊死亡競賽！
You cleared Territory!	你完成了據點爭奪！
You cleared Capture the Flag!	你完成了奪旗模式！
You cleared Blow up the Base!	你完成了基地爆破！
You cleared Zombie!	你完成了殭屍模式！
You cleared VIP!	你完成了 VIP 模式！
Winner:Red Team	勝利：紅隊
Winner:Blue Team	勝利：藍隊
Winner:Zombies	勝利：殭屍
Winner:Humans	勝利：人類
Draw	平手
Choose the shape and size of your aiming reticle.	選擇準心的形狀與大小。
Client-only · Your screen only	僅影響本機 · 只改變你的畫面
Configure a draft and preview changes before saving.	先調整並預覽，確認後再儲存。
Selected	已選取
Saved profile	已儲存組合
Selected / Running	已選取 / 使用中
Selected / Restart required	已選取 / 需要重新啟動
Saved profile / Running	已儲存組合 / 使用中
Client-only  /  Enabled in selected profile / Active now	僅影響本機 / 目前組合已啟用 / 使用中
Client-only  /  Disabled in selected profile / Not active now	僅影響本機 / 目前組合已停用 / 未使用
Installed version: {0}	已安裝版本：{0}
Affects: Your screen only	影響範圍：僅你的畫面
Select a row to view its status and actions.	選擇模組以查看狀態與可用操作。
Welcome to FLATS.\nSingleplayer and Photon online play.\nOnline play requires an internet connection.	歡迎來到 FLATS。\n支援單人遊戲與 Photon 線上對戰。\n線上遊戲需要網際網路連線。
Controls, settings and mobile play updates.	操作、設定與手機遊玩更新。
- Separate aim sensitivity; Kill Cinematic switch.\n- Controller: common FPS layout, steady look speed.\n- Settings scroll; all key bindings on one page.\n- Mobile: Swap button; settings while spectating.\n- Bullet tracers fade in toward the bullet.\n\nPlatform validation: see release notes.	- 開鏡靈敏度可獨立設定；可關閉擊殺特寫。\n- 手把：改用常見 FPS 配置，轉向速度穩定。\n- 設定頁可捲動；所有按鍵在同一頁。\n- 手機：新增撿槍按鈕；觀戰時可開設定。\n- 子彈軌跡朝子彈方向淡入。\n\n平台驗證詳見版本說明。
FLATS {0} preview	FLATS {0} 預覽版
Need a controller\nto play in VR mode.	VR 模式需要\n連接控制器。
Button Mapping	按鍵配置
Chat Room	聊天室
Color	顏色
Extra Settings	其他設定
Invitation Match	邀請對戰
Profile	個人資料
Stage Select	選擇地圖
Start Offline Match	開始離線對戰
Sync	同步
Weapons	武器
Bots: {0}	電腦玩家：{0}
No mods installed	尚未安裝模組
Open Explore to download your first mod.	前往「探索」下載第一個模組。
Explore mods	探索模組
No results	找不到結果
Try another search or filter.	試試其他關鍵字或篩選條件。
No mods in this category.	此類別尚無模組。
Official service unavailable	官方服務暫時無法使用
Installed data modules remain available. Please try again later.	已安裝的資料模組仍可使用，請稍後再試。
Check your connection and retry. Your installed mods are still available.	請檢查網路連線後重試。已安裝的模組仍可使用。
No matching downloads	找不到符合條件的下載
Clear your search to see the queue.	清除搜尋以查看下載佇列。
No downloads	尚無下載項目
Your queue will appear here.	下載佇列會顯示在這裡。
No matching mods	找不到符合條件的模組
{0} installed  /  {1} active	已安裝 {0} 個 / 啟用中 {1} 個
FLATS reconstruction\nScores and settings are saved on this device.\nOnline multiplayer uses your configured Photon app.\nStore purchase verification is unavailable.\n\nOriginal game: © Foliage Games LLC	FLATS 重建版本\n分數與設定會儲存在此裝置。\n線上多人遊戲使用已設定的 Photon 服務。\n無法驗證商店購買紀錄。\n\n原作：© Foliage Games LLC
FLATS Web\nOnline play uses the site's configured Photon service.\nBuilt-in crosshair settings and data presets are supported.\nDownloaded DLL mods require desktop Mono.\nBrowser saves may be cleared by the browser.\n\nOriginal game: © Foliage Games LLC	FLATS 網頁版\n線上遊戲使用網站已設定的 Photon 服務。\n支援內建準心設定與資料預設。\n下載的 DLL 模組需要桌面版 Mono。\n瀏覽器可能會清除本機存檔。\n\n原作：© Foliage Games LLC
General	一般設定
Keyboard / Mouse	鍵盤／滑鼠
Forward	前進
Backward	後退
Jump	跳躍
Sprint	衝刺
Fire	射擊
Aim	瞄準
Reload	換彈
Grenade	手榴彈
Change weapon	切換武器
Change / hold to pick up	切換／按住拾取
Jump / hold to sprint	跳躍／按住衝刺
Toggle aim	切換瞄準
Pick up / exchange	拾取／交換
Default bindings restored.	已還原預設綁定。
Binding saved.	已儲存按鍵綁定。
Binding cancelled. Previous binding kept.	已取消，保留原本的綁定。
Already assigned to: 	此按鍵已綁定：
Connect a controller to bind its buttons.	請先連接控制器，再設定按鍵。
Select an action, then press a controller button.	選擇動作，再按下控制器按鍵。
Left stick: move. Right stick: look. Start: menu.	左搖桿：移動。右搖桿：視角。Start：選單。
Select an action, then press a key or mouse button.	選擇動作，再按下鍵盤或滑鼠按鍵。
Esc cancels. Duplicate bindings are rejected.	Esc 取消。不接受重複按鍵。
Release all buttons, then press the new binding.	放開所有按鍵，再按下新的按鍵。
Esc / Start cancels. Timeout: 10 seconds.	Esc／Start 取消。等待時間：10 秒。
Menu: Esc / Start   |   Confirm: Enter / A   |   Back: Esc / B	選單：Esc／Start　｜　確認：Enter／A　｜　返回：Esc／B
Left stick	左搖桿
Right stick	右搖桿
Mouse	滑鼠
Hold	按住
Look around: {control:Look}.	環顧四周：{control:Look}。
Move: {control:Move}.	移動：{control:Move}。
Fire: {control:Fire}.	射擊：{control:Fire}。
Reload: {control:Reload}.	換彈：{control:Reload}。
Change weapons: {control:Change}.	切換武器：{control:Change}。
Throw grenade: {control:Grenade}.	投擲手榴彈：{control:Grenade}。
Pick up: {control:Interact}.	拾取：{control:Interact}。
Aim: {control:Aim}.	瞄準：{control:Aim}。
Jump: {control:Jump}.	跳躍：{control:Jump}。
Sprint: {control:Sprint}.	衝刺：{control:Sprint}。
Menu: {control:Menu}.	開啟選單：{control:Menu}。
Exchange weapon: {control:Interact}.	交換武器：{control:Interact}。
Select reset to exit the tutorial.	選擇重設以離開教學。
Walk to the black cube.	走到黑色方塊旁。
Need to reload?	需要換彈嗎？
Aim and shoot them.	瞄準並射擊敵人。
Pick the sniper rifle on the floor.	拾取地上的狙擊步槍。
Move left	向左移動
Move right	向右移動
Grab flag: {control:Interact}.	奪取旗幟：{control:Interact}。
Reset bomb: {control:Interact}.	重設炸彈：{control:Interact}。
Pick up bomb: {control:Interact}.	拾取炸彈：{control:Interact}。
Join: {control:Join}.	加入：{control:Join}。
Select a binding to change it.	選擇按鍵以變更綁定。
Hold to sprint	按住以衝刺
Hold to pick up	按住以拾取
Press a button...	請按下按鍵…
Release, then press a new binding. Esc / Start cancels.	放開後按下新按鍵。Esc／Start 取消。
Quit Application	離開遊戲
Quit Flats.	確定要離開 FLATS 嗎？
Your installed mods still work. Please try again later.	已安裝的模組仍可使用，請稍後再試。
Exit from current game and reboot.	結束目前的遊戲並返回主選單。
Store unavailable	商店無法使用
This build cannot verify or restore Store purchases. No purchase has been made and no entitlement has been granted.	此版本無法驗證或還原商店購買紀錄。未進行任何購買，也未授予任何購買權益。
Incorrect input	輸入錯誤
Custom mapping failed.	自訂按鍵設定失敗。
Connect a controller	請連接控制器
You must connect a controller to make its custom mapping.	請先連接控制器，再設定自訂按鍵。
Deleted your custom mapping.	已刪除自訂按鍵設定
Your custom controller mapping has been deleted.	已刪除你的控制器自訂按鍵設定。
No custom mapping.	沒有自訂按鍵設定
Your custom controller mapping does not exist.	你尚未建立控制器自訂按鍵設定。
Extremely low framerate!	畫面更新率過低！
